,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
1246, Maruti Baleno,2020,DELTA PETROL 1.2,Manual,Petrol,1st Owner,22438,733000
1247, Skoda Rapid,2017,AMBITION 1.6 MPI MT,Manual,Petrol,2nd Owner,124707,648000
1248, Honda City,2018,1.5L I-VTEC VX,Manual,Petrol,2nd Owner,35288,883000
1249, Honda Jazz,2017,1.2L I-VTEC VX,Manual,Petrol,1st Owner,70235,562000
1250, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,51489,500000
1251, Renault Kwid,2017,RXT 0.8,Manual,Petrol,1st Owner,43775,375000
1252, Maruti Alto K10,2011,VXI,Manual,Petrol,2nd Owner,68730,230000
1253, Honda Jazz,2017,1.2 V MT,Manual,Petrol,2nd Owner,45938,590000
1254, Honda Brio,2013,S MT,Manual,Petrol,2nd Owner,78871,346000
1255, Honda Jazz,2017,1.2L I-VTEC VX,Manual,Petrol,2nd Owner,60442,535000
1256, Maruti Celerio,2019,VXI,Manual,Petrol,1st Owner,15356,511000
1257, Maruti Dzire,2018,ZXI PLUS AMT,Automatic,Petrol,2nd Owner,22528,687000
1258, Maruti Alto,2020,LXI OPT CNG,Manual,nerCNG,1st Owner,"75,591",425000
1259, Hyundai GRAND I10 NIOS,2020,ASTA AMT 1.2 KAPPA VTVT,Automatic,Petrol,2nd Owner,22234,720000
1260, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,31614,485000
1261, Nissan Micra,2015,XL CVT,Automatic,Petrol,1st Owner,33859,437000
1262, Maruti Alto K10,2018,VXI,Manual,Petrol,1st Owner,89919,306400
1263, Maruti Celerio,2017,VXI (O),Manual,Petrol,1st Owner,33221,457000
1264, Hyundai i20,2014,SPORTZ 1.2,Manual,Petrol,2nd Owner,47092,492000
1265, Maruti Alto K10,2011,VXI,Manual,Petrol,1st Owner,25928,248000
1266, Maruti IGNIS,2018,ALPHA 1.2 DUAL TONE,Manual,Petrol,1st Owner,5458,606000
1267, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,29289,572000
1268, Maruti Celerio,2014,VXI,Manual,Petrol,1st Owner,54848,410000
1269, Maruti Swift,2013,ZXI,Manual,Petrol,1st Owner,57770,518000
1270, Hyundai i10,2010,MAGNA 1.2,Manual,Petrol,1st Owner,54998,283000
1271, Maruti Vitara Brezza,2016,ZDI PLUS DUAL TONE,Manual,Diesel,1st Owner,99232,829000
1272, Honda Jazz,2016,1.2L I-VTEC V,Manual,Petrol,3rd Owner,85860,498000
1273, Hyundai i20,2014,SPORTZ 1.2,Manual,Petrol,1st Owner,39078,515000
1274, Renault Kiger,2021,RXZ 1.0 MT,Manual,Petrol,1st Owner,14463,903000
1275, Hyundai Creta,2016,SX PLUS 1.6 PETROL,Manual,Petrol,1st Owner,102816,925000
1276, Hyundai Grand i10,2015,ASTA AT 1.2 KAPPA VTVT,Automatic,Petrol,1st Owner,70864,510000
1277, Hyundai Grand i10,2016,ASTA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,92564,449000
1278, Maruti Alto,2019,VXI,Manual,Petrol,1st Owner,67329,347000
1279, Maruti Ciaz,2022,ZETA 1.5 SHVS MT PETROL,Manual,Petrol,1st Owner,13301,1008000
1280, Maruti Ritz,2011,VDI,Manual,Diesel,1st Owner,124712,347000
1281, Maruti IGNIS,2018,ALPHA 1.2,Manual,Petrol,1st Owner,36714,557000
1282, Honda City,2015,1.5L I-VTEC VX CVT,Automatic,Petrol,2nd Owner,43358,751000
1283, Honda Jazz,2015,1.2L I-VTEC V AT,Automatic,Petrol,2nd Owner,47617,577000
1284, Maruti Swift,2012,VDI,Manual,Diesel,1st Owner,106516,453000
1285, Maruti Ciaz,2019,DELTA AT 1.5 SHVS PETROL,Automatic,Petrol,2nd Owner,54561,805000
1286, Maruti Swift Dzire,2016,VXI,Manual,Petrol,2nd Owner,35792,577000
1287, Renault Kwid,2021,1.0 CLIMBER OPT,Manual,Petrol,1st Owner,11389,516000
1288, Renault Kwid,2020,CLIMBER 1.0 AMT (O),Automatic,Petrol,1st Owner,7390,548000
1289, Hyundai Creta,2020,SX (O) IVT 1.5 PETROL,Automatic,Petrol,1st Owner,30420,1679000
1290, Renault Duster,2016,RXZ AMT 110 PS,Automatic,Diesel,1st Owner,96181,791000
1291, Maruti Baleno,2019,ALPHA CVT PETROL 1.2,Automatic,Petrol,1st Owner,19693,834000
1292, Hyundai Grand i10,2016,MAGNA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,22977,490000
1293, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,76485,528000
1294, Maruti New Wagon-R,2021,ZXI 1.2,Manual,Petrol,1st Owner,14009,647000
1295, Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,29453,496000
1296, Maruti Celerio,2018,ZXI,Manual,Petrol,3rd Owner,51877,476000
1297, Maruti Dzire,2017,VXI,Manual,Petrol,1st Owner,43525,616000
1298, Renault Kwid,2019,RXT 1.0 AMT (O),Automatic,Petrol,2nd Owner,5083,531000
1299, Hyundai i20,2014,SPORTZ 1.2,Manual,Petrol,1st Owner,55836,487000
1300, Maruti Alto,2021,VXI PLUS,Manual,Petrol,1st Owner,14771,425000
1301, Maruti Swift,2014,VXI,Manual,Petrol,2nd Owner,52802,485000
1302, Maruti Wagon R 1.0,2015,VXI,Manual,Petrol,2nd Owner,69581,375000
1303, Maruti Swift,2021,VXI,Manual,Petrol,1st Owner,29905,729400
1304, Maruti IGNIS,2017,ZETA 1.2 AMT,Automatic,Petrol,1st Owner,74643,525000
1305, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,96455,427000
1306, Hyundai Eon,2016,MAGNA + AIRBAG,Manual,Petrol,2nd Owner,8187,352000
1307, Volkswagen Vento,2020,HIGHLINE PLUS 1.0L TSI,Manual,Petrol,2nd Owner,68303,1171000
1308, Honda City,2018,1.5L I-VTEC ZX CVT,Automatic,Petrol,2nd Owner,68906,1027000
1309, Honda Brio,2015,S MT,Manual,Petrol,2nd Owner,22262,422000
1310, Maruti Dzire,2017,VDI,Manual,Diesel,1st Owner,94932,734000
1311, Maruti Swift Dzire,2016,VDI ABS,Manual,Diesel,1st Owner,52030,746000
1312, Maruti Alto 800,2015,LXI,Manual,Petrol,3rd Owner,24320,290000
1313, Mahindra XUV500,2019,W11(O),Manual,Diesel,1st Owner,36847,1738000
1314, Maruti Swift Dzire,2013,VXI,Manual,Petrol,1st Owner,60876,470000
1315, Maruti Ertiga,2014,VXI,Manual,Petrol,2nd Owner,53766,671000
1316, Honda WR-V,2017,1.5L I-DTEC VX MT,Manual,Diesel,1st Owner,62997,802000
1317, Honda City,2016,1.5L I-VTEC V MT,Manual,Petrol,1st Owner,47776,728000
1318, Maruti Swift,2017,VXI O,Manual,Petrol,1st Owner,48201,593000
